time,distance(meters),num_sats,flags
19691231_191608,0.00, 0, 0
19691231_191608,0.00, 0, 0
19691231_191608,0.00, 0, 0
19691231_191608,0.00, 0, 0
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
19691231_191608,100.00, 9, 1
