time,speed(m/s),num_sats
19691231_191608,     0, 0
19691231_191608,     0, 0
19691231_191608,     0, 0
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191608,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
19691231_191609,     0, 9
